NOMBRE	TIPO	DIRECCION	CLAUSURADO	ACTA
		Azcuénaga Nº 753 PB FONDO		4-314724,4-314723,4-314722
		Jerónimo Salguero Nº 2692 SS/PB/EP		4-313954
		Olavarría 459, planta baja y entre piso		4-289247
		Montevideo 421, 1° piso		
		Chivilcoy N° 1775 PB.,		4-315302
		Río de Janeiro 54, PB y PA		4-313955
		AV. Nazca Nº 89 PB. y EP. –unidad funcional Nº 2-.,		4-314413
		Av. San Pedrito 66, PB		4-314412
		Rivera Indarte 93, PB, UF 5.,		4-314411
		Echeandia Nº 2988 PB/EP.,		4-314987,4-315258
		Tucumán Nº 1679 PB/EP/1º PISO UF 3.,		4-313743
		Tinogasta N° 5058 PB. y PA.,		4-273643,4-273645,4-273644
		Suipacha Nº 757 PB/SOTANO		4-314186
		Av. Córdoba 1201/15, planta baja y subsuelo		4-315407
		Marcelo T. de Alvear 1355/57 PB y 1° piso,.		4-315408
		AV. Juan B. Justo Nº 2741 PB. y PA.,		4-314811
		Av. Juan B. Justo 2771/75 Pb y 1° piso		4-314812,4-3147810
		Av. Juan B. Justo N° 2781/83 PB, 1° a 6° piso.,		4-303043,4-303042
		Jerónimo Salguero N° 1133, PB y SS.,		4-288464
		Costa Rica N° 5673/75/77, PB y EP		4-288542
		Av. Córdoba N° 5267, PB, 1° y 2° piso		4-243614
		Av. Rafael Obligado N° 6350 pb. y 1° piso,.		4-288462,4-314553,4-288461
		Darwin 411/91, Padilla 1149/65 y Camargo S/N PB, EP, 1° y 2° piso.,		4-289660,4-289659,4-289658
		AV. Callao Nº 1674 PB. y 1º piso.,		4-313390
		Lisandro de la Torre 804, PB y EP,.		4-288162,4-288161
		Lucio N. Mansilla N° 2528 PB y ST.,		4-314552
		Donizetti Nº 256 PB		4-315305,4-314628
		Luis Viale Nº 140 PB/EP.,		4-315304,4-314627
		Av. Gaona N° 2333 PB.,		4-314058
		Lavalle N° 3633, PB y SS.,		4-313956
		Castro Barros 1121/23, planta baja		4-239765
		AV. La Plata Nº 726 PB/ EP.,		4-315478,4-289362
		Tronador 2101/09, PB.,		4-313589,4-313588
		Av. Callao N° 856, PB y SS.,		4-314057
		Humboldt N° 1445, PB y PA.,		4-302877
		Av. Santa Fé N° 2516, PB y SS		4-289095
		AV. Directorio Nº 7027/29 y Carhué Nº 2387 PB. y EP		4-303459
		Viamonte N° 723, Piso 3°, Oficina 12		4-314300
		Virrey Loreto N° 3723, PB, UF 002.,		4-314414
		14 de Julio Nº 1468, PB		4-314187
		Billinghurst Nº 57 PB/PA,.		4-313393,4-313287
		Ferre 6636/72, Guamini 5761/85, Montiel 5651 y Av. Gral. Roca 6665/81,pb-ep-1-2 piso		4-314966,4-304000,4-315726,4-315727,4-315728
		Hubac 5764/68, PB		4-301894,4-301893
		Av. WARNES 981, planta bja y entre piso		4-315410
		Av. Dr. Honorio Pueyrredón Nº 1295 PB/PA		4-315409
		Juncal N° 1197 PB, EP, Sótano		4-315132,4-313935
		Bartolomé Mitre 2716 y Castelli 72/90, planta baja y subsuelo		4-289363
		Av. Coronel Díaz 1929 PB		4-287139
		Viamonte N° 723 Piso 5° Oficina 19.,		4-303624
		Pola 1920/38/52/60 PB y EP y Remedios 5490		4-313334
		Tronador N° 1067 PB		4-266864
		Juan Facundo Quiroga Nº 1001 PB,.		4-303288
		AV. Juan B. Alberdi Nº 602 PB/SOTANO UF 2		4-314415
		Bathurst Nº 3394 –esquina Virrey Liniers Nº 2202- PB,.		4-313863,4-313864
		AV. Santa Fe Nº 2363/65 3º PISO DPTO. “H”,.		4-315929
		Lisandro de la Torre 804, PB y EP,.		4-288164
		AV. Avellaneda N° 3127 PB., 1º y 2º piso		4-313783,4-321079,4-321078
		Sarmiento 1156/58, planta baja y subsuelo		4-314261
		Jose Marti 1678, PB y PA		4-313748
		Vuelta de Obligado 1947, 5° piso, UF 016		4-287541
		Av. La Plata N° 1345/51 PB 1° piso		4-314967,4-314630
		Ibarrola 6602 PB		4-313994
		Av. Pueyrredón 623 PB/EP		4-314262,4-314263
		Av. Gral Paz 10868, Ventura Bosch N° 7263, PB, Local A3		4-313992
		AV. San Martin Nº 6066 SS/PB,.		4-314062
		Lisandro de la Torre 823 PB y PA,.		4-315729
		Av. Belgrano N° 3101 PB, EP, Sótano		4-287544,4-287545
		AV. Monroe Nº 4278/84 PB. y PA,.		4-314417
		Grecia Nº 3223 PB/1º PISO/AZOTEA,.		4-314535,4-314333
		Teodoro García 1847, planta baja y sótano		4-315754
		Víctor Martínez N° 237/241 PB, PA		4-313189
		Monroe Nº 3333/5 PB,.		4-314416
		Camarones N° 1645 PB,.		4-252539
		AV. Álvarez Jonte Nº 1987 PB		4-288908
		Catamarca N° 486,.		4-133770
		Chacabuco 67, PB		4-314889,4-314888
		Jerónimo Salguero 199/5 PB (UF 0001),.		4-315930
		Bolívar 1526/28, planta baja, 1° y 2° piso y entre piso,.		4-315587
		Cuenca 2783 1° piso		4-273566
		Cucha Cucha N° 1747 PB, Azotea		4-303558,4-321578,4-321576,4-321577
		AV. Cabildo Nº 1632/26 PB. y PA		4-315931,4-315932
		Florida 987, planta baja		4-313608
		Av. Belgrano 683/7 PB,.		4-314271
		Junín 1747, planta baja, 1° y 2° piso		4-313958
		AV. Federico Lacroze Nº 1796, planta baja, 1° y 2° piso		4-302690
		Lezica 4201, PB		4-314419
		Ortiz de Ocampo 3220 PB		4-314609,4-314610
		Alberti Nº 1763/67 PB		4-314685,4-314686,4-314687
		Rivera Indarte Nº 76 PB UF 2,.		4-315411
		Rawson Nº 10 sótano y PB		4-314418
		Lavalle N° 3702, PB, EP y SS y Bulnes N° 996		4-313959
		Serrano N° 1291, PB y EP		4-288466
		Av. Rivadavia N° 7750, PB		4-315801
		San Nicolas 1343/45, PB y EP,.		4-321454,4-321727,4-321726
		Cnel. Martiniano Chilavert N° 2896, PB		4-256941
		Av. Avellaneda 3660 PB/EP		4-314420
		Av. independencia N° 2262/64		4-273647
		Jerónimo Salguero N° 1358, PB		4-289096
		Moctezuma Nº 1010 PB/PA,.		4-301936
		Arce N° 901 PB., 1º piso y sótano		4-315977
		Bernardo de Irigoyen 1584 PB y sótano		4-303936,4-303938,4-303937
		Bartolomé Mitre N° 811 1° piso,.		4-301792
		Bartolome Mitre Nº 2167 PB/1º Y 2º PISO,.		4-315585
		Benito Perez Galdos S/N lindero a N° 127 y Caboto S/N entre N° 571, 559 PB/PA,		4-303689,4-315307
		AV. Raúl. Scalabrini Ortiz N° 1424 PB		4-313960
		Juramento N° 1667 PB y PA		4-288488,4-288487
		Av. Santa Fe Nº 3047 PB/2º Y 3º SS,.		4-313398
		AV. Rivadavia Nº 3910, PB		4-315412
		Humberto 1° 2671, PB		4-303020
		AV. Nazca Nº 277 PB		4-314863
		Emilio Lamarca N° 1218 PB/PA		4-321728,4-321456
		Cnel. Niceto Vega N° 5534 PB y 1° piso		4-302882
		Gorriti 4774 PB, 1°, 2° y terraza		4-313447,4-315061
		Brandsen 805,.CABA		
		Av. De Mayo 817, PB		4-315482,4-315481
		AV. Juan de Garay Nº 3556 PB,.		4-488803
		Estación Línea C, Retiro, local 4,.		4-314422
		Bacacay 3129, PB,.		4-302938,4-302937
		Yerbal Nº 2377 PB		4-303327
		La Pampa Nº 2975 SS/PB/1º A 6º PISO		4-314117,4-314116,4-314735,4-314736,4-314737
		AV. Jacobo Adrián Varela Nº 3289/91/93 PB. y EP		
		Av. del Libertador 7355		
		Cramer 780 PB. y TZA		4-313450
		Thames Nº 1439 PB		4-272217
		Salta Nº 186, PB., 1º, 2º piso y azotea		4-303559
		Arribeños Nº 2511 y Monroe Nº 1655, Local 1, Planta Alta		4-287143
		AV. Juan B. Alberdi 5711, PB, UF 1,.		4-315417
		Bragado Nº 5835/37 PB. y PA,.		4-315418
		Salta Nº 180 PB/1º Y 2º PISO/AZOTEA		4-321476
		Murillo N° 797 PB, EP		4-313867,4-313400
		Guardia Nacional 786/88, PB y EP		4-315416,4-315415
		Florida 343/47		4-315483,4-315484
		AV. Warnes Nº 1511/15 PB. y 1º piso		4-314663
		Rawson Nº 26, PB		4-321832
		Lisandro De La Torre 172, PB y PA.,		4-313786
		Av. Francisco Beiro Nº 5291 PB/1º PISO		4-313768
		Av. Warnes 1486, PB y PA		4-315513,4-315512
		Estados Unidos 509, planta baja y sótano		4-289098
		Av. Rivadavia N° 4086 PB		4-287546
		García del Rio Nº 2487 PB,.		4-315456
		Monroe N° 4692, PB. y EP,.		4-303419,4-303420
		Av. Juan Bautista Alberdi 4655 PB., CABA. -		4-288516
		Sánchez de Bustamante N° 2534 PB., 1° y 2° Piso		4-315405
		Tinogasta Nº 4534/36, PB, PA y azotea		4-303435
		Serrano 1598, planta baja, 1° y 2° piso		4-273926
		Paysandú N° 2371, PB y PA		4-315938,4-315937,4-315939
		Agüero N° 1799 PB		4-321326
		AV. Triunvirato N° 4552, PB, SS y EP		4-288909
		Av. Corrientes N° 4091 PB/EP		4-315832
		Paysandú N° 2326/8 PB/1°/2°Piso		4-315940,4-315941,4-315942,4-314670
		Humberto 1º Nº 3563, PB., 1º, 2º piso y terraza		4-315152
		Pedro Morán N° 4151 PB, 1°, 2° y 3° piso		4-314611,4-303811
		Brandsen N° 1515		4-321734
		Villafañe Wenceslao N° 10/18/40 (y Caboto 850) PB, EP, 1° y 2°,.		4-315311,4-315312,4-315265
		24 de Noviembre N° 450, planta baja, 1° y 2°,.		4-315153
		Paysandu 2383 PB. y EP		4-314669,4-314667,4-314668
		Campana N° 27/29 PB., EP. y PA		4-315590,4-315591,4-315592,4-314495,4-314769,4-314770,4-314771,4-314494,4-314772
		Gascón Nº 146/48 PB., PA., SS. y EP		4-314819
		Av. Juan B Alberdi 2148/50/52, PB, SS, EP y 1° piso		4-315880,315879
		Federico García Lorca N° 116, PB		4-238602
		Hidalgo 781, PB		4-314191
		Av. Rivadavia N° 7176 PB y EP		4-315631
		Republica Bolivariana de Venezuela 474 PB. y EP		4-273927
		Gurruchaga N° 1406 PB		4-315978
		Armenia N° 1744,.		4-303329
		Cnel. Niceto Vega N° 5635/29		4-266844
		Av. Juan De Garay 3776/80, PB, 1° a 3° piso		4-303940
		AV. Escalada N° 870 PB. y 1º piso		4-315057,4-315062,4-314496,4-314497
		Carhue Nº 2529, PB y azotea		4-315313,4-321735,4-321736
		Gregorio de Laferrere Nº 3389/91 PB		4-313347
		Santiago del Estero N° 333 PB, 1° a 3° piso		4-315154,4-314774,4-315155,4-315156
		Armenia N° 2102 PB		4-238603
		Chacabuco N° 679 PB, 1° piso		4-302921
		Felipe Vallese 3483 PB		4-313346,4-315268,4-315267
		Campichuelo 244, planta baja, unidad funcional 56 y 57, local 12 y 13		4-314188
		Echeverría N° 3195, PB, PA y SS,.		4-274123
		Av. Cabildo N° 3241 PB		4-274124
		Dr. Juan. F. Aranguren N° 213, PB y PA		4-266845,4-266846
		Vuelta de Obligado N° 2391 PB. y EP		4-289099
		Pasteur 277, entre piso, local 30		4-321208
		Av. PEDRO GOYENA 1064, planta baja y planta alta		4-287739
		Carlos Calvo N° 1794 PB., EP.,1º piso y terraza		4-314498,4-314499,4-314500,4-315594,4-315595,4-315596
		AV. Avellaneda Nº 848, PB y PA.,		4-303046
		Terrada 405, PB		4-314192,4-314193,4-315419,4-315420
		AV. Juan Bautista Alberdi Nº 3530, PB y EPS (2).,		4-315517
		Estados unidos N° 1629 PB, EP, AZOTEA		4-315593,4-315597,4-315598,4-315599
		San Antonio 1075/89, planta baja, entre piso y planta alta		4-315269
		Andalgalá Nº 1395, 1º Piso		4-315486
		Av. Larrazábal 469 PB		4-302570,4-302000
		Pola N° 2463 PB.,		
		José A. Cabrera N° 5115 PB/PA.,		
		Defensa N° 678 PB, SS, 1° y 2° piso.,		4-321835
		Potosí 3921 PB.,		4-321835
		Pedernera 57 PB. y 1° piso.,		4-321803
		Loyola N° 612 PB/EP		4-321088,4-321090,4321089
		AV. Rivadavia Nº 2138, PB, SS y EP		4-273569
		San Blas Nº 2374/76 PB/EP		4-315838,4-315837
		Pepirí Nº 931 PB. y EP		4-314194,4-314195,4-314196
		Hipólito Yrigoyen Nº 2570, 1º piso y entrepiso.,		4-313361
		Inclán 2625/9 PB, EP, 1° piso, 2° EP, Tza., Sótano		4-314442
		Tarija 3373 PB, 1° piso y terraza		4-302817,4-303024
		Olga Cossettini N° 731, 2° Piso.,		4-274590
		Defensa N° 572 PB, 1° y 2° piso,.		4-315906,4-315905
		Av. Juan B. Alberdi N° 436 PB		4-274814
		Carlos Pellegrini N° 469 Pb. y SS		4-266849
		Av. Directorio N° 4500 PB		4-302885
		Av. Piedra Buena N° 4918 PB		4-321001
		Av. Rivadavia 11386, planta baja, 1° y 2° piso.,		4-314211,4-314212
		Tapalque N° 6900 PB.,		4-256943
		Fitz Roy N° 1855 PB. y PA		4-288469
		San Pedrito N° 1168 PB/EP (Frente		4-313349
		José A. Cortejarena N° 3132/34 PB		4-322553,4-322552,4-302819,4-302820,4-322551
		AV. Santa Fé Nº 1670, 1º Piso, Local 65		4-321290
		Coronel Niceto Vega N° 5189/91,PB		4-313962
		Camacua N° 198/200 PB.,		4-302884
		AV. Santa Fé Nº 1670, 1º Subsuelo, Local 14.,		4-288373,4-288372
		Chile 417/19, PB, EP, 1° piso y Azotea		4-048897
		Tacuarí N° 905/921 PB y PA		4-266848
		Serrano N° 1327, PB, PA y EP		4-273570
		Cochabamba 1201/9 PB y EP		4-288523
		Av. Leandro N. Alem 592/96, 6° piso, (UF N° 6),.		4-288568
		Aranguren N° 3535 PB, EP		4-212234
		Terrada N° 4371, PB, 1° y 2°,.		4-303446,4-313192
		Rodríguez Peña 1051 (AV. Santa Fe 1670), planta baja, B 22,.		4-313942
		Talcahuano N° 742/44 PB, 1° y 2° piso		4-313293
		Esmeralda 600, planta baja y subsuelo		4-266847
		AV. Santa Fe Nº 1670 PB. y 1º piso –local 36		4-322004,4-322003,4-322002
		Yerbal N° 2377 PB		4-302886
		TTE. Gral. Juan D. Perón Nº 2143 PB, SS, EP y PA		4-302942,4-302943,4-288950,4-288949
		Constitución Nº 1901 PB		4-266869
		Lima Nº 1360, SS.,		4-287640
		AV. Francisco Beiró Nº 2390/2400 –frente N° 2395- PB		4-321837,4-321836,4-315909
		Bolivia Nº 252, PB		4-313944
		Cochabamba Nº 2528 PB/EP		4-288910,4-288911
		Oliden N° 1864/90 PB/1°/2° Piso		4-303466
		AV. Rivadavia Nº 2541 PB. y EP		4-321883,4-321882
		Franklin Roosevelt Nº 3644/46 y calle Melián Nº 2594 PB. y EP		
		Bahía Blanca N° 451 PB		
		Av. Elcano N° 3002/30,.		
		GREGORIO DE LAFERRERE Nº 5831/33/37/41/45/49/51 y LARRAYA 2381 pb-pa-ep		
		Marcelo T. de Alvear 1276 PB		
		AV. Gaona Nº 2601/11/15 PB		
		Guatemala 4689/99, esquina Gurruchaga 2107, PB, PA y SS		
		AV. Corrientes Nº 5840/42/50 PB., 1º y 2º entrepiso		
		Monroe 5055/79 PB, EP, 1° piso y sótano (Díaz Colodrero N° 2430		
		Hubac 5764/68, PB		4-321985
		Alejandro Dumas 1971, PB		
		Av. San Martín 3237/41, PB, 1° piso y SS		
		Caaguazu 6151, PB		
		La Rioja Nº 476 PB		4-321982,4-321981
		Rio Cuarto Nº 2726 PB DPTO. 2		4-321742,4-321741,4-321740
		Av. Saénz 855, PB Local 46/44 -UNIFICADOS		4-302691
		BILLINGHURST 529, planta baja		4-322378
		Av. Sáenz N° 855 Piso 1° Local 211		4-315842
		Av. Saénz 849/53/55, 1° piso, local/puesto 234/235		4-303943
		Av. Cabildo 685, PB		4-288169
		GRAL. Gervasio José Artigas Nº 726 PB.,		4-322484,4-322483,4-322482
		Manuela Pedraza 6074, planta baja		4-252546
		Av. Saénz 855, PB Local 55		4-272069
		AV. Saenz Nº 855 PB. –local N° 17,.		4-315848
		Arenales Nº 707,.		4-288569
		AV. Asamblea 146, planta baja, 1° y 2° piso		4-313685,4-322107,4-322106
		Av. Saenz 855, PB, local N° 125		4-272070
		Defensa 751/59 PB, SS, 1°, 2° y Az. (y Chile 440/50),.		4-303291,4-288892
		Av. de Mayo N° 952 PB,.		4-3145808
		Av. Pedro de Mendoza Nº 3897/99 PB/EP/PA,.		4-321465,4-321466
		Constitución N° 1393 PB y EP,.		4-301153
		Yerbal N° 3822, PB		4-322485,4-322486
		Bogotá Nº 3619, PB FONDO (pieza a la derecha).,		4-315282,4-315281
		Av. Castañares 2547/49/51/53, PB y EP.,		
		Av. Corrientes N° 857 PB		
		Sarmiento Nº 3122/28, PB, 1º y 2º Piso		4-322676
		Azcuénaga 933/35		
		BRANDSEN 805		
		Agüero 1186, planta baja y 1° piso,.		
		Sarmiento 1892, planta baja, entre piso, 1° y 2° piso y azotea		
		Juan Bautista Prímoli y Saladillo Nº 2085 Nº 7469/73/77/81/85 PB. y EP. .-LOC 101/109		
		Armenia N° 1726 PB		4-302888
		Buera N° 123 PB.,1º a 4°piso		4-288475,4-288474,4-288473
		México N° 2241 PB		4-289664,4-289665,4-289666,4-289667
		Francisco de Viedman 6839, PB,.		4-302301,302302,4-302303
		Av. Cabildo N° 2370 PB y EP- UF 92		4-256944
		Pavón N° 1109 PB y PA		4-302887
		Pavón N° 1113/115 PB y PA		4-288472
		Gorostiaga N° 2021 PB y PA		4-302889
		Av. Santa Fe N° 4840 PB		4-273573
		Mendoza N° 1267		4-252548
		Av. Rivadavia 7904 PB, EP y 1° Piso		4-272350,4-314740,4-314739
		Costa Rica N° 5673, PB y EP y 1° piso		4-252562
		Pasteur Nº 331 PB/1º A 3º PISO UF 2,.		4-322253,4-322254,4-322502
		Godoy Cruz N° 1752 PB y EP		4-274755
		Guevara Nº 35/49/53 PB., sótano, 1° a 3° piso y azotea		4-313002,4-303960,4-313629,4-313628
		Misiones Nº 165/69 PB/1º, 2º Y 3º PISO		4-321862,4-322108,4-322109
		Av. Martín García (Isabel La Católica 2/4/6, Y OTRAS		4-315912
		Dr. Juan F. Aranguren 2972 PB.,		4-314614
		Cochabamba Nº 3401/3405, PB, UF 1.,		4-314869
		Nicaragua N° 4346 PB y EP.,		4-048898
		Av. Juan B. Justo 9200		4-148322
		Av. Rivadavia N° 10412 PB.,		4-287740
		Quito Nº 3771/3773, PB., EP, 1º piso		4-315532
		Av. Regimiento de Patricios 1578 PB (UF 1		4-321177
		Gral José Gervasio Artigas N° 389 PB/1° Piso		4-321488
		Alvar Núñez 98, planta baja		4-303470,4-303471
		AV. Nazca N° 1193 PB.–unidad funcional N° 2,.		4-313616,4-313615,4-302745,4-302746
		Av. Rivadavia 5000, planta baja y planta alta		4-315089
		Estado Plurinacional de Bolivia N° 417 PB.,		4-287549
		BONPLAND 1939 pb/subsuelo		
		Florida 202/218, planta baja, subsuelo y 1° piso		
		Tomas de Anchorena N° 1536 PB, 1°, 2° y 3° piso, azotea		
		Lisboa 654, planta baja,.		
		Margariños Cervantes N° 4817 PB/PA		
		Av. Eva Perón 4007, planta baja, sótano y azotea		
		Bartolomé Mitre 3677/81/83, PB y 1° piso		
		Colonia (Luna 482/492) N° 469, planta baja		
		Helguera 49, planta baja		4-321805,4-315160,4-315159,4-321806
		Montes de Oca Nº 1385 PB UF 1.,		4-323326
		Tucumán 313, 1° y 2° SS, PB, 1° a 8° Piso		4-321489,4-315555
		Dr. Pedro I. Rivera N° 2909 PB., PA. y EPS. s/PB. y PA.,		4-272397,4-272398
		Av. Regimientos Patricios 825, PB, UF 2.		4-313999
		Plaza 3837/3839 PB y PA,.		4-323352,4-323353
		JEAN JAURES 947/49, planta baja		4-322492
		Reservistas Argentinos N° 219 PB.,		4-315738,4-315737,4-322203
		CURAPALIGUE 1642/46, planta baja.,		4-322752,4-322751,4-314247
		Báez Nº 252 PB		4-274815
		Sarmiento Nº 2906 PB/EPS/1º Y 2º PISO/AZOTEA		4-315533,4-315534,4-315535,4-315536,4-321585,4-321586,4-313362
		Echeverria N° 3054 PB, PA		4-302056,4-313771
		AV. San Juan N° 2360 PB., EP. y 1° piso		4-313814,4-313815,4-313816
		Puán N° 1928 PB/EP		4-315741,4-315740,4-315739,4-321757
		Puán N° 1932 1° piso		4-321758,4-315742
		Toll N° 2755 y Olavarría N° 2264 PB.,		4-322977,4-322980,4-322979,4-322978
		Av. San Juan N° 2240 PB, PA		4-314871,4-314173,4-314172
		Av. Gaona 1297/99 PB y sótano, unidad funcional 1		4-314197
		Av. Juan B. Justo 6497 PB		4-315090
		Chile 1316/20, planta baja		4-323355,4-323354
		Marcelo T. de Alvear 1256, planta baja y entre piso, unidad funcional 1		4-048805,4-048806
		Caracas Nº 1854 PB FONDO,.		4-321759,4-315743
		O´Brien Nº 1170 PB. y sótano		4-273575
		O´Brien Nº 1219, PB		4-287719,4-287720,4-287721
		Condarco Nº 336 PB. –unidad funcional Nº 1		4-288570
		Constitución 1368, PB		4-289589,4-289590
		Honduras N° 5624 PB, PA.,		4-321328
		Camarones N° 3051 PB, EP, 1°,.		4-314872,4-314873,4-314874
		Av. Segurola N° 2517 PB		4-322205,4-315289
		Terrada N° 475/77 PB		4-315919
		Viamonte Nº 2335, PB.,1º, 2º piso, EP. y azotea		4-321589
		Humboldt N° 1868/70 PB y EP,.		4-287837
		QUINTINO BOCAYUVA 1784, planta baja		4-313912
		Salta 1440 EP, PB y Sótano		4-287723
		Quirno N° 37 PB,.		4-315917,4-315918
		Bartolomé Mitre Nº 1263 PB/SS		4-315493,4-315494,4-315495
		Pavón 1249, planta baja		4-287724
		Saráchaga 5511, planta baja		4-323327
		Salcedo 3969/71, PB y 1° piso		4-321884,4-321885
		Arroyo N° 872 PB/Sótano		4-048620,4-048900,4-048899
		Av. Pedro Goyena N° 1064 PB y PA.,		4-075823,4-322730,4-322729
		Av. San Pedrito N° 544/6 PB		4-314063
		Av. Rivadavia N° 7602 PB y EP		4-313966
		Cochabamba Nº 444 PB		4-315560
		Av. Álvarez Thomas N° 487/499 y Olleros N° 3498		4-302306,4-302307
		Av. Juan de Garay N° 980 PB y ST		4-301752
		Honduras 5090, PB, PP y 2° piso		4-048937
		Raulíes N° 1926 PB. y 1° piso		4-315169,4-322559,4-315168,4-315167,4-322560,4-322430
		Santiago del Estero N° 1280, PB,.		4-301751
		Caracas N° 2134/36/38		4-289668
		El Salvador N° 4919		4-323752
		José. A. Cabrera N° 4223 PB		4-266872
		Plaza N° 1496 PB y Sótano		4-315663
		Lavalle 2008, PB.,		4-323501
		Rincón N° 1330/34 PB		4-273930
		Ruiz de los Llanos N° 52, PB y PA		4-322356
		Bogotá Nº 4301 PB. 1°, 2° piso y azotea		4-267684
		Cabello N° 3719 PB		4-314216
		Av. Juan de Garay N° 1458 PB		4-314559,4-314558
		Av. Cnel. Niceto Vega 4959, PB y 1°,.		4-048938
		Sarmiento S/N entre chapas catastrales N° 4006 y N° 4034, PB, SS y EP		4-100833,4-157742,4-157741,4-157740,4-157743
		Sarmiento N° 2222/24 (unificado) PB, Sótano		4-314199,4-314200
		Montevideo N° 350 SS-PB-1°-2° UF 465		4-314198
		Concordia Nº 792/96/98 PB/EP/1º PISO		4-315920,4-315921
		Río de Janeiro 663/671/681, PB-SS		4-315496,4-289364
		Cnel Niceto Vega N° 5189 PB, EP, 1° y 2°		4-302308,4-302309
		Gorriti N° 4015 PB y EP		4-322731
		Río de Janeiro N° 28 PB y EP.,		4-323753
		Felipe Vallese N° 685 PB.,		4-157736,4-212556,4-157735,4-157737,4-157738
		Av. Rivadavia 842/846, planta baja, entre piso y sótano		4-048621
		Uriarte N° 1657 PB, 1° y 2° piso		4-315979
		Juramento N° 2121, 1° piso,.		4-322732,4-322733
		Av. Corrientes N° 6116 PB y SS		4-287110,4-287109
		GREGORIO DE LAFERRERE 5940/42 PB. 1º 2º PISO		4-315745,4-315744
		AV. Cabildo Nº 1053 PB, PA y Sótano		4-287511,4-287509
		Defensa Nº 1344/50, PB.,		4-315707
		Chaco N° 195 PB		4-321844
		VIAMONTE 1892, planta baja, subsuelo, 1° a 5° piso y azotea		4-314741
		Púan 669, planta baja, unidad funcional 1.,		4-288572
		Gral. L. N. Mansilla Nº 3035 PB/1º PISO		4-323551,4-252953,4-252954,4-323552
		Montevideo N° 48 PB., EP., 1° a 10° piso y azotea		4-322432,4-322434,4-322433,4-322561,4-322562,4-322563,4-322431
		José Evaristo Uriburu N° 675 PB, UF 1,.		4-314742
		Aizpurua 3163/93, SS, PB, 1°, 2° y 3° piso		4-274184
		Pedernera Nº 55 PB/SOTANO		4-315746,4-322206,4-322207
		José León Suarez Nº 130 PB,.		4-323035
		Mendoza 1633/37-pb-uf 3		4-323502
		Virrey Del Pino N° 2898 PB/EP UF 1,2,3.4,5		4-315421
		Av. Cabildo 875 2° Piso “B” y EP (UF5),.		4-323503
		Av. Corrientes Nº 6102/04, PB,.		4-314474,4-323827,4-323826
		Mcal. Antonio José de Sucre 2459/61/71, PB, 1° y 2° Piso		4-315422
		Yerbal Nº 1440/48 y J.J. Biedma Nº 75/77 PB/1º PISO.,		4-314600
		Lascano N° 5018 PB.,		4-323057
		Pringles Nº 786 PB,.		4-321932
		AV. Córdoba N° 1827 SS., PB., 1° a 10° piso y azotea		4-322679,4-322680
		Posadas1227, PB, EP, 1° a 6° piso		
		Av. Corrientes 6102		4-322263,4-322264,4-322262
		Piedras 990, PB, Sótano, 1° a 6° piso y azotea		4-322564
		ALBARELLOS 2512/30/52, planta baja, entre piso, 1°, 2° y 3° piso		4-322208,4-322209,4-322304,4-322305
		Av. Niceto Vega N° 5558 PB		4-315424
		AV. Corrientes Nº 1994/96 SS., PB., 1º y 2°piso		4-323553,4-323554,4-314744,4-32355,4-314743,4-314745
		Dr. Pedro I Rivera 4318		4-315329
		Adolfo Alsina N° 1971, PB, Sótano y EP (UF1),.		4-322390,4-322391
		Av. Corrientes 5847, planta baja		4-315423
		José Cabrera N° 4946 PB-		4-313967
		Pje. Maldonado N° 5430 PB		4-321848,4-321849,4-321850
		Erezcano 3857/65/71, PB y PA		4-314926,4-314927
		Paso N° 149 PB, Sótano, UF 1		4-323253.4-323828
		Erezcano Nº 3949/55/63/99 PB/PA.,		4-323576,4-315750
		San José 747, PB, 1 a 18		4-322451
		Av. Belgrano 2925/27, PB y PA.,		4-288574
		Av. Directorio 934, planta baja		4-252563
		AV. RIVADAVIA Nº 2438, SS, PB y 1º Piso		4-321179
		Pasaje Maldonado Nº 5434 PB,.		4-322495,4-322496,4-322497,4-322498
		Oliden Nº 1642/60 PB/EP/PA		4-323603,4-323602
		Castro Barros Nº 516/520/522, PB, 1º, 2º piso, EPs y azotea		4-321583,4-321584
		Sarmiento Nº 3004 PB/EP/1º Y 2º PISO		4-313363,4-321587
		Pizarro N° 5967 PB		4-302894
		Martínez Castro Nº 1288 PB FONDO		4-313694,4-313693,4-313692
		Vuelta de Obligado Nº 3155 PB		4-313597
		Libertad Nº 262 1° piso		4-321222,4-321221
		Guevara N° 1250/34/36/38/66 y AV. Triunvirato N° 2755 PB		4-322210,4-322211,4-321765,4-321764
		Carlos Calvo N° 865 PB,.CABA		4-314065
		Bolívar Nº 1082 PB y EP		4-314566
		Av. Rivadavia N° 1392 PB, SS- UF N°3,.		4-274757
		Fitz Roy N° 1655 PB		4-314132
		Vuelta de Obligado Nº 3139, PB		4-287883
		Sinclair N° 2931 PB.-, 1° a 3° subsuelo		4-314698,4-321870,4-321871
		Av. Corrientes 400, planta baja y subsuelo		4-314222
		Cnel. Ramón. L Falcón N° 3065, PB, 1° y 2° piso, y José Marti N° 58 PB		4-302311,4-314567
		Pacheco 2251, planta baja y sótano		4-212237
		Av. Esteban Bonorino N° 1425 PB		4-323929
		Honduras N° 5318.,		4-314131
		Piedras N° 1040 PB/PA,.		4-048939
