"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Av. independencia N° 2262/64",NA,"4-273647","D1","av independencia 2262/64","^([a-z ]*)([0-9]+)","av independencia /64","2262/64"
NA,NA,"Jerónimo Salguero N° 1358, PB",NA,"4-289096","D1","jeronimo salguero 1358 pb","^([a-z ]*)([0-9]+)","jeronimo salguero  pb","1358 pb"
NA,NA,"Moctezuma Nº 1010 PB/PA,.",NA,"4-301936","D1","moctezuma no 1010 pb/pa","^([a-z ]*)([0-9]+)","moctezuma no  pb/pa","1010 pb/pa"
NA,NA,"Arce N° 901 PB., 1º piso y sótano",NA,"4-315977","D1","arce 901 pb 1o piso y sotano","^([a-z ]*)([0-9]+)","arce  pb 1o piso y sotano","901 pb 1o piso y sotano"
NA,NA,"Bernardo de Irigoyen 1584 PB y sótano",NA,"4-303936,4-303938,4-303937","D1","bernardo de irigoyen 1584 pb y sotano","^([a-z ]*)([0-9]+)","bernardo de irigoyen  pb y sotano","1584 pb y sotano"
NA,NA,"Bartolomé Mitre N° 811 1° piso,.",NA,"4-301792","D1","bartolome mitre 811 1 piso","^([a-z ]*)([0-9]+)","bartolome mitre  1 piso","811 1 piso"
NA,NA,"Bartolome Mitre Nº 2167 PB/1º Y 2º PISO,.",NA,"4-315585","D1","bartolome mitre no 2167 pb/1o y 2o piso","^([a-z ]*)([0-9]+)","bartolome mitre no  pb/1o y 2o piso","2167 pb/1o y 2o piso"
NA,NA,"Benito Perez Galdos S/N lindero a N° 127 y Caboto S/N entre N° 571, 559 PB/PA,",NA,"4-303689,4-315307","D1","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa","","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa","benito perez galdos s/n lindero a 127 y caboto s/n entre 571 559 pb/pa"
NA,NA,"AV. Raúl. Scalabrini Ortiz N° 1424 PB",NA,"4-313960","D1","av raul scalabrini ortiz 1424 pb","^([a-z ]*)([0-9]+)","av raul scalabrini ortiz  pb","1424 pb"
NA,NA,"Juramento N° 1667 PB y PA",NA,"4-288488,4-288487","D1","juramento 1667 pb y pa","^([a-z ]*)([0-9]+)","juramento  pb y pa","1667 pb y pa"
NA,NA,"Av. Santa Fe Nº 3047 PB/2º Y 3º SS,.",NA,"4-313398","D1","av santa fe no 3047 pb/2o y 3o ss","^([a-z ]*)([0-9]+)","av santa fe no  pb/2o y 3o ss","3047 pb/2o y 3o ss"
NA,NA,"AV. Rivadavia Nº 3910, PB",NA,"4-315412","D1","av rivadavia no 3910 pb","^([a-z ]*)([0-9]+)","av rivadavia no  pb","3910 pb"
NA,NA,"Humberto 1° 2671, PB",NA,"4-303020","D1","humberto 1 2671 pb","^([a-z ]*)([0-9]+)","humberto  2671 pb","1 2671 pb"
NA,NA,"AV. Nazca Nº 277 PB",NA,"4-314863","D1","av nazca no 277 pb","^([a-z ]*)([0-9]+)","av nazca no  pb","277 pb"
NA,NA,"Emilio Lamarca N° 1218 PB/PA",NA,"4-321728,4-321456","D1","emilio lamarca 1218 pb/pa","^([a-z ]*)([0-9]+)","emilio lamarca  pb/pa","1218 pb/pa"
NA,NA,"Cnel. Niceto Vega N° 5534 PB y 1° piso",NA,"4-302882","D1","cnel niceto vega 5534 pb y 1 piso","^([a-z ]*)([0-9]+)","cnel niceto vega  pb y 1 piso","5534 pb y 1 piso"
NA,NA,"Gorriti 4774 PB, 1°, 2° y terraza",NA,"4-313447,4-315061","D1","gorriti 4774 pb 1 2 y terraza","^([a-z ]*)([0-9]+)","gorriti  pb 1 2 y terraza","4774 pb 1 2 y terraza"
NA,NA,"Brandsen 805,.CABA",NA,"","D1","brandsen 805caba","^([a-z ]*)([0-9]+)","brandsen caba","805caba"
NA,NA,"Av. De Mayo 817, PB",NA,"4-315482,4-315481","D1","av de mayo 817 pb","^([a-z ]*)([0-9]+)","av de mayo  pb","817 pb"
NA,NA,"AV. Juan de Garay Nº 3556 PB,.",NA,"4-488803","D1","av juan de garay no 3556 pb","^([a-z ]*)([0-9]+)","av juan de garay no  pb","3556 pb"
NA,NA,"Estación Línea C, Retiro, local 4,.",NA,"4-314422","D1","estacion linea c retiro local 4","^([a-z ]*)([0-9]+)","estacion linea c retiro local","4"
NA,NA,"Bacacay 3129, PB,.",NA,"4-302938,4-302937","D1","bacacay 3129 pb","^([a-z ]*)([0-9]+)","bacacay  pb","3129 pb"
NA,NA,"Yerbal Nº 2377 PB",NA,"4-303327","D1","yerbal no 2377 pb","^([a-z ]*)([0-9]+)","yerbal no  pb","2377 pb"
NA,NA,"La Pampa Nº 2975 SS/PB/1º A 6º PISO",NA,"4-314117,4-314116,4-314735,4-314736,4-314737","D1","la pampa no 2975 ss/pb/1o a 6o piso","^([a-z ]*)([0-9]+)","la pampa no  ss/pb/1o a 6o piso","2975 ss/pb/1o a 6o piso"
NA,NA,"AV. Jacobo Adrián Varela Nº 3289/91/93 PB. y EP",NA,"","D1","av jacobo adrian varela no 3289/91/93 pb y ep","^([a-z ]*)([0-9]+)","av jacobo adrian varela no /91/93 pb y ep","3289/91/93 pb y ep"
NA,NA,"Av. del Libertador 7355",NA,"","D1","av del libertador 7355","^([a-z ]*)([0-9]+)","av del libertador","7355"
NA,NA,"Cramer 780 PB. y TZA",NA,"4-313450","D1","cramer 780 pb y tza","^([a-z ]*)([0-9]+)","cramer  pb y tza","780 pb y tza"
NA,NA,"Thames Nº 1439 PB",NA,"4-272217","D1","thames no 1439 pb","^([a-z ]*)([0-9]+)","thames no  pb","1439 pb"
NA,NA,"Salta Nº 186, PB., 1º, 2º piso y azotea",NA,"4-303559","D1","salta no 186 pb 1o 2o piso y azotea","^([a-z ]*)([0-9]+)","salta no  pb 1o 2o piso y azotea","186 pb 1o 2o piso y azotea"
NA,NA,"Arribeños Nº 2511 y Monroe Nº 1655, Local 1, Planta Alta",NA,"4-287143","D1","arribenos no 2511 y monroe no 1655 local 1 planta alta","^([a-z ]*)([0-9]+)","arribenos no  y monroe no 1655 local 1 planta alta","2511 y monroe no 1655 local 1 planta alta"
NA,NA,"AV. Juan B. Alberdi 5711, PB, UF 1,.",NA,"4-315417","D1","av juan b alberdi 5711 pb uf 1","^([a-z ]*)([0-9]+)","av juan b alberdi  pb uf 1","5711 pb uf 1"
NA,NA,"Bragado Nº 5835/37 PB. y PA,.",NA,"4-315418","D1","bragado no 5835/37 pb y pa","^([a-z ]*)([0-9]+)","bragado no /37 pb y pa","5835/37 pb y pa"
NA,NA,"Salta Nº 180 PB/1º Y 2º PISO/AZOTEA",NA,"4-321476","D1","salta no 180 pb/1o y 2o piso/azotea","^([a-z ]*)([0-9]+)","salta no  pb/1o y 2o piso/azotea","180 pb/1o y 2o piso/azotea"
NA,NA,"Murillo N° 797 PB, EP",NA,"4-313867,4-313400","D1","murillo 797 pb ep","^([a-z ]*)([0-9]+)","murillo  pb ep","797 pb ep"
NA,NA,"Guardia Nacional 786/88, PB y EP",NA,"4-315416,4-315415","D1","guardia nacional 786/88 pb y ep","^([a-z ]*)([0-9]+)","guardia nacional /88 pb y ep","786/88 pb y ep"
NA,NA,"Florida 343/47",NA,"4-315483,4-315484","D1","florida 343/47","^([a-z ]*)([0-9]+)","florida /47","343/47"
NA,NA,"AV. Warnes Nº 1511/15 PB. y 1º piso",NA,"4-314663","D1","av warnes no 1511/15 pb y 1o piso","^([a-z ]*)([0-9]+)","av warnes no /15 pb y 1o piso","1511/15 pb y 1o piso"
NA,NA,"Rawson Nº 26, PB",NA,"4-321832","D1","rawson no 26 pb","^([a-z ]*)([0-9]+)","rawson no  pb","26 pb"
NA,NA,"Lisandro De La Torre 172, PB y PA.,",NA,"4-313786","D1","lisandro de la torre 172 pb y pa","^([a-z ]*)([0-9]+)","lisandro de la torre  pb y pa","172 pb y pa"
NA,NA,"Av. Francisco Beiro Nº 5291 PB/1º PISO",NA,"4-313768","D1","av francisco beiro no 5291 pb/1o piso","^([a-z ]*)([0-9]+)","av francisco beiro no  pb/1o piso","5291 pb/1o piso"
NA,NA,"Av. Warnes 1486, PB y PA",NA,"4-315513,4-315512","D1","av warnes 1486 pb y pa","^([a-z ]*)([0-9]+)","av warnes  pb y pa","1486 pb y pa"
NA,NA,"Estados Unidos 509, planta baja y sótano",NA,"4-289098","D1","estados unidos 509 planta baja y sotano","^([a-z ]*)([0-9]+)","estados unidos  planta baja y sotano","509 planta baja y sotano"
NA,NA,"Av. Rivadavia N° 4086 PB",NA,"4-287546","D1","av rivadavia 4086 pb","^([a-z ]*)([0-9]+)","av rivadavia  pb","4086 pb"
NA,NA,"García del Rio Nº 2487 PB,.",NA,"4-315456","D1","garcia del rio no 2487 pb","^([a-z ]*)([0-9]+)","garcia del rio no  pb","2487 pb"
NA,NA,"Monroe N° 4692, PB. y EP,.",NA,"4-303419,4-303420","D1","monroe 4692 pb y ep","^([a-z ]*)([0-9]+)","monroe  pb y ep","4692 pb y ep"
NA,NA,"Av. Juan Bautista Alberdi 4655 PB., CABA. -",NA,"4-288516","D1","av juan bautista alberdi 4655 pb caba -","^([a-z ]*)([0-9]+)","av juan bautista alberdi  pb caba -","4655 pb caba -"
NA,NA,"Sánchez de Bustamante N° 2534 PB., 1° y 2° Piso",NA,"4-315405","D1","sanchez de bustamante 2534 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","sanchez de bustamante  pb 1 y 2 piso","2534 pb 1 y 2 piso"
NA,NA,"Tinogasta Nº 4534/36, PB, PA y azotea",NA,"4-303435","D1","tinogasta no 4534/36 pb pa y azotea","^([a-z ]*)([0-9]+)","tinogasta no /36 pb pa y azotea","4534/36 pb pa y azotea"
NA,NA,"Serrano 1598, planta baja, 1° y 2° piso",NA,"4-273926","D1","serrano 1598 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","serrano  planta baja 1 y 2 piso","1598 planta baja 1 y 2 piso"
NA,NA,"Paysandú N° 2371, PB y PA",NA,"4-315938,4-315937,4-315939","D1","paysandu 2371 pb y pa","^([a-z ]*)([0-9]+)","paysandu  pb y pa","2371 pb y pa"
NA,NA,"Agüero N° 1799 PB",NA,"4-321326","D1","aguero 1799 pb","^([a-z ]*)([0-9]+)","aguero  pb","1799 pb"
NA,NA,"AV. Triunvirato N° 4552, PB, SS y EP",NA,"4-288909","D1","av triunvirato 4552 pb ss y ep","^([a-z ]*)([0-9]+)","av triunvirato  pb ss y ep","4552 pb ss y ep"
NA,NA,"Av. Corrientes N° 4091 PB/EP",NA,"4-315832","D1","av corrientes 4091 pb/ep","^([a-z ]*)([0-9]+)","av corrientes  pb/ep","4091 pb/ep"
NA,NA,"Paysandú N° 2326/8 PB/1°/2°Piso",NA,"4-315940,4-315941,4-315942,4-314670","D1","paysandu 2326/8 pb/1/2piso","^([a-z ]*)([0-9]+)","paysandu /8 pb/1/2piso","2326/8 pb/1/2piso"
NA,NA,"Humberto 1º Nº 3563, PB., 1º, 2º piso y terraza",NA,"4-315152","D1","humberto 1o no 3563 pb 1o 2o piso y terraza","^([a-z ]*)([0-9]+)","humberto o no 3563 pb 1o 2o piso y terraza","1o no 3563 pb 1o 2o piso y terraza"
NA,NA,"Pedro Morán N° 4151 PB, 1°, 2° y 3° piso",NA,"4-314611,4-303811","D1","pedro moran 4151 pb 1 2 y 3 piso","^([a-z ]*)([0-9]+)","pedro moran  pb 1 2 y 3 piso","4151 pb 1 2 y 3 piso"
NA,NA,"Brandsen N° 1515",NA,"4-321734","D1","brandsen 1515","^([a-z ]*)([0-9]+)","brandsen","1515"
NA,NA,"Villafañe Wenceslao N° 10/18/40 (y Caboto 850) PB, EP, 1° y 2°,.",NA,"4-315311,4-315312,4-315265","D1","villafane wenceslao 10/18/40 (y caboto 850) pb ep 1 y 2","^([a-z ]*)([0-9]+)","villafane wenceslao /18/40 (y caboto 850) pb ep 1 y 2","10/18/40 (y caboto 850) pb ep 1 y 2"
NA,NA,"24 de Noviembre N° 450, planta baja, 1° y 2°,.",NA,"4-315153","D1","24 de noviembre 450 planta baja 1 y 2","^([a-z ]*)([0-9]+)","de noviembre 450 planta baja 1 y 2","24 de noviembre 450 planta baja 1 y 2"
NA,NA,"Paysandu 2383 PB. y EP",NA,"4-314669,4-314667,4-314668","D1","paysandu 2383 pb y ep","^([a-z ]*)([0-9]+)","paysandu  pb y ep","2383 pb y ep"
NA,NA,"Campana N° 27/29 PB., EP. y PA",NA,"4-315590,4-315591,4-315592,4-314495,4-314769,4-314770,4-314771,4-314494,4-314772","D1","campana 27/29 pb ep y pa","^([a-z ]*)([0-9]+)","campana /29 pb ep y pa","27/29 pb ep y pa"
NA,NA,"Gascón Nº 146/48 PB., PA., SS. y EP",NA,"4-314819","D1","gascon no 146/48 pb pa ss y ep","^([a-z ]*)([0-9]+)","gascon no /48 pb pa ss y ep","146/48 pb pa ss y ep"
NA,NA,"Av. Juan B Alberdi 2148/50/52, PB, SS, EP y 1° piso",NA,"4-315880,315879","D1","av juan b alberdi 2148/50/52 pb ss ep y 1 piso","^([a-z ]*)([0-9]+)","av juan b alberdi /50/52 pb ss ep y 1 piso","2148/50/52 pb ss ep y 1 piso"
NA,NA,"Federico García Lorca N° 116, PB",NA,"4-238602","D1","federico garcia lorca 116 pb","^([a-z ]*)([0-9]+)","federico garcia lorca  pb","116 pb"
NA,NA,"Hidalgo 781, PB",NA,"4-314191","D1","hidalgo 781 pb","^([a-z ]*)([0-9]+)","hidalgo  pb","781 pb"
NA,NA,"Av. Rivadavia N° 7176 PB y EP",NA,"4-315631","D1","av rivadavia 7176 pb y ep","^([a-z ]*)([0-9]+)","av rivadavia  pb y ep","7176 pb y ep"
NA,NA,"Republica Bolivariana de Venezuela 474 PB. y EP",NA,"4-273927","D1","republica bolivariana de venezuela 474 pb y ep","^([a-z ]*)([0-9]+)","republica bolivariana de venezuela  pb y ep","474 pb y ep"
NA,NA,"Gurruchaga N° 1406 PB",NA,"4-315978","D1","gurruchaga 1406 pb","^([a-z ]*)([0-9]+)","gurruchaga  pb","1406 pb"
NA,NA,"Armenia N° 1744,.",NA,"4-303329","D1","armenia 1744","^([a-z ]*)([0-9]+)","armenia","1744"
NA,NA,"Cnel. Niceto Vega N° 5635/29",NA,"4-266844","D1","cnel niceto vega 5635/29","^([a-z ]*)([0-9]+)","cnel niceto vega /29","5635/29"
NA,NA,"Av. Juan De Garay 3776/80, PB, 1° a 3° piso",NA,"4-303940","D1","av juan de garay 3776/80 pb 1 a 3 piso","^([a-z ]*)([0-9]+)","av juan de garay /80 pb 1 a 3 piso","3776/80 pb 1 a 3 piso"
NA,NA,"AV. Escalada N° 870 PB. y 1º piso",NA,"4-315057,4-315062,4-314496,4-314497","D1","av escalada 870 pb y 1o piso","^([a-z ]*)([0-9]+)","av escalada  pb y 1o piso","870 pb y 1o piso"
NA,NA,"Carhue Nº 2529, PB y azotea",NA,"4-315313,4-321735,4-321736","D1","carhue no 2529 pb y azotea","^([a-z ]*)([0-9]+)","carhue no  pb y azotea","2529 pb y azotea"
NA,NA,"Gregorio de Laferrere Nº 3389/91 PB",NA,"4-313347","D1","gregorio de laferrere no 3389/91 pb","^([a-z ]*)([0-9]+)","gregorio de laferrere no /91 pb","3389/91 pb"
NA,NA,"Santiago del Estero N° 333 PB, 1° a 3° piso",NA,"4-315154,4-314774,4-315155,4-315156","D1","santiago del estero 333 pb 1 a 3 piso","^([a-z ]*)([0-9]+)","santiago del estero  pb 1 a 3 piso","333 pb 1 a 3 piso"
NA,NA,"Armenia N° 2102 PB",NA,"4-238603","D1","armenia 2102 pb","^([a-z ]*)([0-9]+)","armenia  pb","2102 pb"
NA,NA,"Chacabuco N° 679 PB, 1° piso",NA,"4-302921","D1","chacabuco 679 pb 1 piso","^([a-z ]*)([0-9]+)","chacabuco  pb 1 piso","679 pb 1 piso"
NA,NA,"Felipe Vallese 3483 PB",NA,"4-313346,4-315268,4-315267","D1","felipe vallese 3483 pb","^([a-z ]*)([0-9]+)","felipe vallese  pb","3483 pb"
NA,NA,"Campichuelo 244, planta baja, unidad funcional 56 y 57, local 12 y 13",NA,"4-314188","D1","campichuelo 244 planta baja unidad funcional 56 y 57 local 12 y 13","^([a-z ]*)([0-9]+)","campichuelo  planta baja unidad funcional 56 y 57 local 12 y 13","244 planta baja unidad funcional 56 y 57 local 12 y 13"
NA,NA,"Echeverría N° 3195, PB, PA y SS,.",NA,"4-274123","D1","echeverria 3195 pb pa y ss","^([a-z ]*)([0-9]+)","echeverria  pb pa y ss","3195 pb pa y ss"
NA,NA,"Av. Cabildo N° 3241 PB",NA,"4-274124","D1","av cabildo 3241 pb","^([a-z ]*)([0-9]+)","av cabildo  pb","3241 pb"
NA,NA,"Dr. Juan. F. Aranguren N° 213, PB y PA",NA,"4-266845,4-266846","D1","dr juan f aranguren 213 pb y pa","^([a-z ]*)([0-9]+)","dr juan f aranguren  pb y pa","213 pb y pa"
NA,NA,"Vuelta de Obligado N° 2391 PB. y EP",NA,"4-289099","D1","vuelta de obligado 2391 pb y ep","^([a-z ]*)([0-9]+)","vuelta de obligado  pb y ep","2391 pb y ep"
NA,NA,"Pasteur 277, entre piso, local 30",NA,"4-321208","D1","pasteur 277 entre piso local 30","^([a-z ]*)([0-9]+)","pasteur  entre piso local 30","277 entre piso local 30"
NA,NA,"Av. PEDRO GOYENA 1064, planta baja y planta alta",NA,"4-287739","D1","av pedro goyena 1064 planta baja y planta alta","^([a-z ]*)([0-9]+)","av pedro goyena  planta baja y planta alta","1064 planta baja y planta alta"
NA,NA,"Carlos Calvo N° 1794 PB., EP.,1º piso y terraza",NA,"4-314498,4-314499,4-314500,4-315594,4-315595,4-315596","D1","carlos calvo 1794 pb ep1o piso y terraza","^([a-z ]*)([0-9]+)","carlos calvo  pb ep1o piso y terraza","1794 pb ep1o piso y terraza"
NA,NA,"AV. Avellaneda Nº 848, PB y PA.,",NA,"4-303046","D1","av avellaneda no 848 pb y pa","^([a-z ]*)([0-9]+)","av avellaneda no  pb y pa","848 pb y pa"
NA,NA,"Terrada 405, PB",NA,"4-314192,4-314193,4-315419,4-315420","D1","terrada 405 pb","^([a-z ]*)([0-9]+)","terrada  pb","405 pb"
NA,NA,"AV. Juan Bautista Alberdi Nº 3530, PB y EPS (2).,",NA,"4-315517","D1","av juan bautista alberdi no 3530 pb y eps (2)","^([a-z ]*)([0-9]+)","av juan bautista alberdi no  pb y eps (2)","3530 pb y eps (2)"
NA,NA,"Estados unidos N° 1629 PB, EP, AZOTEA",NA,"4-315593,4-315597,4-315598,4-315599","D1","estados unidos 1629 pb ep azotea","^([a-z ]*)([0-9]+)","estados unidos  pb ep azotea","1629 pb ep azotea"
NA,NA,"San Antonio 1075/89, planta baja, entre piso y planta alta",NA,"4-315269","D1","san antonio 1075/89 planta baja entre piso y planta alta","^([a-z ]*)([0-9]+)","san antonio /89 planta baja entre piso y planta alta","1075/89 planta baja entre piso y planta alta"
NA,NA,"Andalgalá Nº 1395, 1º Piso",NA,"4-315486","D1","andalgala no 1395 1o piso","^([a-z ]*)([0-9]+)","andalgala no  1o piso","1395 1o piso"
NA,NA,"Av. Larrazábal 469 PB",NA,"4-302570,4-302000","D1","av larrazabal 469 pb","^([a-z ]*)([0-9]+)","av larrazabal  pb","469 pb"
NA,NA,"Pola N° 2463 PB.,",NA,"","D1","pola 2463 pb","^([a-z ]*)([0-9]+)","pola  pb","2463 pb"
NA,NA,"José A. Cabrera N° 5115 PB/PA.,",NA,"","D1","jose a cabrera 5115 pb/pa","^([a-z ]*)([0-9]+)","jose a cabrera  pb/pa","5115 pb/pa"
NA,NA,"Defensa N° 678 PB, SS, 1° y 2° piso.,",NA,"4-321835","D1","defensa 678 pb ss 1 y 2 piso","^([a-z ]*)([0-9]+)","defensa  pb ss 1 y 2 piso","678 pb ss 1 y 2 piso"
NA,NA,"Potosí 3921 PB.,",NA,"4-321835","D1","potosi 3921 pb","^([a-z ]*)([0-9]+)","potosi  pb","3921 pb"
NA,NA,"Pedernera 57 PB. y 1° piso.,",NA,"4-321803","D1","pedernera 57 pb y 1 piso","^([a-z ]*)([0-9]+)","pedernera  pb y 1 piso","57 pb y 1 piso"
NA,NA,"Loyola N° 612 PB/EP",NA,"4-321088,4-321090,4321089","D1","loyola 612 pb/ep","^([a-z ]*)([0-9]+)","loyola  pb/ep","612 pb/ep"
NA,NA,"AV. Rivadavia Nº 2138, PB, SS y EP",NA,"4-273569","D1","av rivadavia no 2138 pb ss y ep","^([a-z ]*)([0-9]+)","av rivadavia no  pb ss y ep","2138 pb ss y ep"
NA,NA,"San Blas Nº 2374/76 PB/EP",NA,"4-315838,4-315837","D1","san blas no 2374/76 pb/ep","^([a-z ]*)([0-9]+)","san blas no /76 pb/ep","2374/76 pb/ep"
NA,NA,"Pepirí Nº 931 PB. y EP",NA,"4-314194,4-314195,4-314196","D1","pepiri no 931 pb y ep","^([a-z ]*)([0-9]+)","pepiri no  pb y ep","931 pb y ep"
NA,NA,"Hipólito Yrigoyen Nº 2570, 1º piso y entrepiso.,",NA,"4-313361","D1","hipolito yrigoyen no 2570 1o piso y entrepiso","^([a-z ]*)([0-9]+)","hipolito yrigoyen no  1o piso y entrepiso","2570 1o piso y entrepiso"
NA,NA,"Inclán 2625/9 PB, EP, 1° piso, 2° EP, Tza., Sótano",NA,"4-314442","D1","inclan 2625/9 pb ep 1 piso 2 ep tza sotano","^([a-z ]*)([0-9]+)","inclan /9 pb ep 1 piso 2 ep tza sotano","2625/9 pb ep 1 piso 2 ep tza sotano"
NA,NA,"Tarija 3373 PB, 1° piso y terraza",NA,"4-302817,4-303024","D1","tarija 3373 pb 1 piso y terraza","^([a-z ]*)([0-9]+)","tarija  pb 1 piso y terraza","3373 pb 1 piso y terraza"
NA,NA,"Olga Cossettini N° 731, 2° Piso.,",NA,"4-274590","D1","olga cossettini 731 2 piso","^([a-z ]*)([0-9]+)","olga cossettini  2 piso","731 2 piso"
NA,NA,"Defensa N° 572 PB, 1° y 2° piso,.",NA,"4-315906,4-315905","D1","defensa 572 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","defensa  pb 1 y 2 piso","572 pb 1 y 2 piso"
NA,NA,"Av. Juan B. Alberdi N° 436 PB",NA,"4-274814","D1","av juan b alberdi 436 pb","^([a-z ]*)([0-9]+)","av juan b alberdi  pb","436 pb"
NA,NA,"Carlos Pellegrini N° 469 Pb. y SS",NA,"4-266849","D1","carlos pellegrini 469 pb y ss","^([a-z ]*)([0-9]+)","carlos pellegrini  pb y ss","469 pb y ss"
NA,NA,"Av. Directorio N° 4500 PB",NA,"4-302885","D1","av directorio 4500 pb","^([a-z ]*)([0-9]+)","av directorio  pb","4500 pb"
NA,NA,"Av. Piedra Buena N° 4918 PB",NA,"4-321001","D1","av piedra buena 4918 pb","^([a-z ]*)([0-9]+)","av piedra buena  pb","4918 pb"
NA,NA,"Av. Rivadavia 11386, planta baja, 1° y 2° piso.,",NA,"4-314211,4-314212","D1","av rivadavia 11386 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","av rivadavia  planta baja 1 y 2 piso","11386 planta baja 1 y 2 piso"
NA,NA,"Tapalque N° 6900 PB.,",NA,"4-256943","D1","tapalque 6900 pb","^([a-z ]*)([0-9]+)","tapalque  pb","6900 pb"
NA,NA,"Fitz Roy N° 1855 PB. y PA",NA,"4-288469","D1","fitz roy 1855 pb y pa","^([a-z ]*)([0-9]+)","fitz roy  pb y pa","1855 pb y pa"
NA,NA,"San Pedrito N° 1168 PB/EP (Frente",NA,"4-313349","D1","san pedrito 1168 pb/ep (frente","^([a-z ]*)([0-9]+)","san pedrito  pb/ep (frente","1168 pb/ep (frente"
NA,NA,"José A. Cortejarena N° 3132/34 PB",NA,"4-322553,4-322552,4-302819,4-302820,4-322551","D1","jose a cortejarena 3132/34 pb","^([a-z ]*)([0-9]+)","jose a cortejarena /34 pb","3132/34 pb"
NA,NA,"AV. Santa Fé Nº 1670, 1º Piso, Local 65",NA,"4-321290","D1","av santa fe no 1670 1o piso local 65","^([a-z ]*)([0-9]+)","av santa fe no  1o piso local 65","1670 1o piso local 65"
NA,NA,"Coronel Niceto Vega N° 5189/91,PB",NA,"4-313962","D1","coronel niceto vega 5189/91pb","^([a-z ]*)([0-9]+)","coronel niceto vega /91pb","5189/91pb"
NA,NA,"Camacua N° 198/200 PB.,",NA,"4-302884","D1","camacua 198/200 pb","^([a-z ]*)([0-9]+)","camacua /200 pb","198/200 pb"
NA,NA,"AV. Santa Fé Nº 1670, 1º Subsuelo, Local 14.,",NA,"4-288373,4-288372","D1","av santa fe no 1670 1o subsuelo local 14","^([a-z ]*)([0-9]+)","av santa fe no  1o subsuelo local 14","1670 1o subsuelo local 14"
NA,NA,"Chile 417/19, PB, EP, 1° piso y Azotea",NA,"4-048897","D1","chile 417/19 pb ep 1 piso y azotea","^([a-z ]*)([0-9]+)","chile /19 pb ep 1 piso y azotea","417/19 pb ep 1 piso y azotea"
NA,NA,"Tacuarí N° 905/921 PB y PA",NA,"4-266848","D1","tacuari 905/921 pb y pa","^([a-z ]*)([0-9]+)","tacuari /921 pb y pa","905/921 pb y pa"
NA,NA,"Serrano N° 1327, PB, PA y EP",NA,"4-273570","D1","serrano 1327 pb pa y ep","^([a-z ]*)([0-9]+)","serrano  pb pa y ep","1327 pb pa y ep"
NA,NA,"Cochabamba 1201/9 PB y EP",NA,"4-288523","D1","cochabamba 1201/9 pb y ep","^([a-z ]*)([0-9]+)","cochabamba /9 pb y ep","1201/9 pb y ep"
NA,NA,"Av. Leandro N. Alem 592/96, 6° piso, (UF N° 6),.",NA,"4-288568","D1","av leandro n alem 592/96 6 piso (uf 6)","^([a-z ]*)([0-9]+)","av leandro n alem /96 6 piso (uf 6)","592/96 6 piso (uf 6)"
NA,NA,"Aranguren N° 3535 PB, EP",NA,"4-212234","D1","aranguren 3535 pb ep","^([a-z ]*)([0-9]+)","aranguren  pb ep","3535 pb ep"
NA,NA,"Terrada N° 4371, PB, 1° y 2°,.",NA,"4-303446,4-313192","D1","terrada 4371 pb 1 y 2","^([a-z ]*)([0-9]+)","terrada  pb 1 y 2","4371 pb 1 y 2"
NA,NA,"Rodríguez Peña 1051 (AV. Santa Fe 1670), planta baja, B 22,.",NA,"4-313942","D1","rodriguez pena 1051 (av santa fe 1670) planta baja b 22","^([a-z ]*)([0-9]+)","rodriguez pena  (av santa fe 1670) planta baja b 22","1051 (av santa fe 1670) planta baja b 22"
NA,NA,"Talcahuano N° 742/44 PB, 1° y 2° piso",NA,"4-313293","D1","talcahuano 742/44 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","talcahuano /44 pb 1 y 2 piso","742/44 pb 1 y 2 piso"
NA,NA,"Esmeralda 600, planta baja y subsuelo",NA,"4-266847","D1","esmeralda 600 planta baja y subsuelo","^([a-z ]*)([0-9]+)","esmeralda  planta baja y subsuelo","600 planta baja y subsuelo"
NA,NA,"AV. Santa Fe Nº 1670 PB. y 1º piso –local 36",NA,"4-322004,4-322003,4-322002","D1","av santa fe no 1670 pb y 1o piso -local 36","^([a-z ]*)([0-9]+)","av santa fe no  pb y 1o piso -local 36","1670 pb y 1o piso -local 36"
NA,NA,"Yerbal N° 2377 PB",NA,"4-302886","D1","yerbal 2377 pb","^([a-z ]*)([0-9]+)","yerbal  pb","2377 pb"
NA,NA,"TTE. Gral. Juan D. Perón Nº 2143 PB, SS, EP y PA",NA,"4-302942,4-302943,4-288950,4-288949","D1","tte gral juan d peron no 2143 pb ss ep y pa","^([a-z ]*)([0-9]+)","tte gral juan d peron no  pb ss ep y pa","2143 pb ss ep y pa"
NA,NA,"Constitución Nº 1901 PB",NA,"4-266869","D1","constitucion no 1901 pb","^([a-z ]*)([0-9]+)","constitucion no  pb","1901 pb"
